"lnm_rate","treated","state","year"
-10.5971326828003,1,45,1927
-7.15340709686279,0,45,1927
-10.6147384643555,1,45,1928
-7.10965871810913,0,45,1928
-10.5765523910522,1,45,1929
-7.18628454208374,0,45,1929
-10.7870807647705,1,45,1930
-7.25329685211182,0,45,1930
-9.83583927154541,1,45,1931
-7.22388553619385,0,45,1931
-10.333966255188,1,45,1932
-7.31497764587402,0,45,1932
-10.4168434143066,1,45,1933
-7.3853931427002,0,45,1933
-10.5997514724731,1,45,1934
-7.42033958435059,0,45,1934
-10.9360828399658,1,45,1935
-7.42997980117798,0,45,1935
-10.641282081604,1,45,1936
-7.38708209991455,0,45,1936
-10.3218965530396,1,46,1937
-7.47161340713501,0,46,1937
-11.0606899261475,1,46,1938
-7.5802321434021,0,46,1938
-11.645848274231,1,46,1939
-7.6647515296936,0,46,1939
-12.1507358551025,1,46,1940
-7.70632123947144,0,46,1940
-12.2605772018433,1,46,1941
-7.66826725006104,0,46,1941
-12.670503616333,1,46,1942
-7.79530668258667,0,46,1942
-12.164119720459,1,46,1943
-7.74588203430176,0,46,1943
-10.1607980728149,1,47,1925
-7.22390604019165,0,47,1925
-9.98436546325684,1,47,1926
-7.27099609375,0,47,1926
-9.73542213439941,1,47,1927
-7.27957916259766,0,47,1927
-10.8964853286743,1,47,1928
-7.32133436203003,0,47,1928
-10.424388885498,1,47,1929
-7.32768106460571,0,47,1929
-10.4868307113647,1,47,1930
-7.34555625915527,0,47,1930
-10.8010416030884,1,47,1931
-7.40287971496582,0,47,1931
-11.2570667266846,1,47,1932
-7.47612905502319,0,47,1932
-10.7220935821533,1,47,1933
-7.56509351730347,0,47,1933
-10.8131122589111,1,47,1934
-7.6312780380249,0,47,1934
-10.1239566802979,1,47,1935
-7.66592311859131,0,47,1935
-9.43478488922119,1,47,1936
-7.82081174850464,0,47,1936
-10.7380275726318,1,48,1937
-7.73813724517822,0,48,1937
-11.0296535491943,1,48,1938
-7.74208164215088,0,48,1938
-11.1513652801514,1,48,1939
-7.71737813949585,0,48,1939
-11.2888097763062,1,48,1940
-7.81861972808838,0,48,1940
-11.0431222915649,1,48,1941
-7.87437105178833,0,48,1941
-12.1473302841187,1,48,1942
-7.94263744354248,0,48,1942
-12.1528940200806,1,48,1943
-7.92363023757935,0,48,1943
-10.6102924346924,1,49,1925
-8.0064811706543,0,49,1925
-10.8168964385986,1,49,1926
-8.01017475128174,0,49,1926
-11.2854175567627,1,49,1927
-8.10981750488281,0,49,1927
-10.4109210968018,1,49,1928
-8.24117088317871,0,49,1928
-10.1790781021118,1,49,1929
-8.06189632415771,0,49,1929
-10.639609336853,1,49,1930
-8.25838088989258,0,49,1930
-11.1358652114868,1,49,1931
-8.24827575683594,0,49,1931
-10.8689622879028,1,49,1932
-8.49584674835205,0,49,1932
-10.8644018173218,1,49,1933
-8.4054708480835,0,49,1933
-10.8220806121826,1,49,1934
-8.40088939666748,0,49,1934
-10.3521146774292,1,49,1935
-8.34812355041504,0,49,1935
-9.94980907440186,1,49,1936
-8.58723068237305,0,49,1936
-10.5205278396606,1,50,1937
-8.53189277648926,0,50,1937
-11.3913297653198,1,50,1938
-8.67884540557861,0,50,1938
-11.2614784240723,1,50,1939
-8.70561981201172,0,50,1939
-11.6920862197876,1,50,1940
-8.67833518981934,0,50,1940
-12.2989568710327,1,50,1941
-8.74838161468506,0,50,1941
-12.7051563262939,1,50,1942
-8.89849376678467,0,50,1942
-12.0127429962158,1,50,1943
-8.75464725494385,0,50,1943
-10.7109994888306,1,51,1929
-6.93823862075806,0,51,1929
-10.3206396102905,1,51,1930
-6.9419150352478,0,51,1930
-11.4401063919067,1,51,1931
-6.82498598098755,0,51,1931
-10.7673873901367,1,51,1932
-6.91724014282227,0,51,1932
-10.7874069213867,1,51,1933
-7.0032172203064,0,51,1933
-7.0115442276001,0,51,1934
-11.5194292068481,1,51,1935
-6.84660053253174,0,51,1935
-9.45887279510498,1,51,1936
-7.06097745895386,0,51,1936
-10.8637027740479,1,52,1937
-7.00297260284424,0,52,1937
-7.20559930801392,0,52,1938
-11.5929203033447,1,52,1939
-7.51538228988647,0,52,1939
-7.2410306930542,0,52,1940
-7.5603461265564,0,52,1941
-11.0038833618164,1,52,1942
-7.31500387191772,0,52,1942
-7.24901390075684,0,52,1943
-10.3182163238525,1,53,1925
-7.3325343132019,0,53,1925
-9.62994766235352,1,53,1926
-7.265953540802,0,53,1926
-10.0402669906616,1,53,1927
-7.35241937637329,0,53,1927
-10.0450973510742,1,53,1928
-7.31398248672485,0,53,1928
