"id","gender","grade","important","better","preferredhand","siblings","youngestchild","oftenexpelled","correct","treatment"
185,0,5,"sport","Math","Right",1,0,0,1,"Candybar"
186,0,5,"school","Math","Right",1,0,0,0,"Candybar"
187,0,6,"sport","Language","Right",1,0,0,0,"Candybar"
188,0,1,"school","Language","Right",1,0,0,0,"Candybar"
189,0,1,"school","Language","Right",1,1,0,1,"Candybar"
190,0,1,"school","Language","Right",1,1,0,0,"Candybar"
191,0,1,"school","Math","Right",1,1,0,0,"Candybar"
192,1,1,"school","Math","Right",1,0,0,0,"Candybar"
193,1,1,"school","Math","Right",1,0,0,0,"Candybar"
194,1,2,"sport","Math","Left",1,1,0,0,"Candybar"
195,1,2,"school","Language","Right",1,1,0,1,"Candybar"
196,1,2,"school","Math","Right",1,0,0,1,"Candybar"
197,1,2,"sport","Math","Left",1,1,0,1,"Candybar"
198,1,3,"school","Math","Right",1,1,0,0,"Candybar"
199,1,3,"school","Language","Right",1,1,0,0,"Candybar"
200,1,4,"school","Math","Right",1,0,0,0,"Candybar"
201,1,4,"school","Math","Right",1,0,0,1,"Candybar"
202,1,1,"school","Math","Right",0,1,0,0,"Candybar"
203,1,4,"school","Language","Left",1,0,0,0,"Candybar"
